task_id,page_url,page_domain,category,category_label,priority,finding,evidence,fix,owner,timeline,estimated_hours,status
SEO-001,https://threeriversinspection.com/,threeriversinspection.com,broken_links,Broken Links,Critical,🔴 2 broken link(s) found,,,Technical SEO,Week 1,2.0,Open
SEO-002,https://threeriversinspection.com/,threeriversinspection.com,link_profile,Link Profile,Critical,3 orphan page(s) with zero inbound internal links.,,Add internal links from relevant content pages to these orphan pages.,Technical SEO,Week 1,2.0,Open
SEO-003,https://threeriversinspection.com/,threeriversinspection.com,social,Social Meta,Critical,🔴 Missing required: og:image,,,Content / SEO,Week 1,2.0,Open
SEO-004,https://threeriversinspection.com/,threeriversinspection.com,entity,Entity SEO,Warning,No Wikidata entry found for 'Three Rivers Inspections and Engineering'.,,Create a Wikidata item for your entity with accurate properties to improve Knowledge Graph presence.,Content / SEO,Month 1,1.0,Open
SEO-005,https://threeriversinspection.com/,threeriversinspection.com,entity,Entity SEO,Warning,Missing sameAs link to Wikipedia (Primary KG signal).,,Add 'wikipedia.org' profile URL to sameAs array in your entity schema.,Content / SEO,Month 1,1.0,Open
SEO-006,https://threeriversinspection.com/,threeriversinspection.com,entity,Entity SEO,Warning,Missing sameAs link to Wikidata (Primary KG signal).,,Add 'wikidata.org' profile URL to sameAs array in your entity schema.,Content / SEO,Month 1,1.0,Open
SEO-007,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,Meta description is missing or out of range,This can reduce SERP CTR and snippet quality.,Use your SEO plugin (Yoast/RankMath/AIOSEO) or theme templates to set title/meta and OG/Twitter tags.,Web Engineering,Month 1,1.0,Open
SEO-008,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,Title tag needs optimization,Title length/content is likely suboptimal for rankings and click-through.,Use your SEO plugin (Yoast/RankMath/AIOSEO) or theme templates to set title/meta and OG/Twitter tags.,Web Engineering,Month 1,1.0,Open
SEO-009,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,2 security headers missing,Missing headers reduce trust and can expose the site to browser/security risks.,Set headers via server config (Nginx/Apache) or CDN edge rules.,Web Engineering,Month 1,1.0,Open
SEO-010,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,No llms.txt found,AI crawlers and assistants have no curated machine-readable guidance for key pages.,Create /llms.txt at web root or route it through your web server.,Web Engineering,Month 1,1.0,Open
SEO-011,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,2 broken links detected,Broken internal links hurt crawl flow and user trust.,"Fix links in menus, content blocks, and internal link plugin data.",Web Engineering,Month 1,1.0,Open
SEO-012,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,Social meta tags are incomplete,Missing OG/Twitter tags weakens social previews and share quality.,Use your SEO plugin (Yoast/RankMath/AIOSEO) or theme templates to set title/meta and OG/Twitter tags.,Web Engineering,Month 1,1.0,Open
SEO-013,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Warning,Content readability is difficult,"Long, complex text can reduce engagement and comprehension.","Rewrite key sections with shorter sentences (15-20 words), shorter paragraphs (2-4 sentences), and clearer subheadings.",Web Engineering,Month 1,1.0,Open
SEO-014,https://threeriversinspection.com/,threeriversinspection.com,internal_links,Internal Links,Warning,⚠️ 2 potential orphan page(s) (≤1 internal link pointing to them),,,Technical SEO,Month 1,1.0,Open
SEO-015,https://threeriversinspection.com/,threeriversinspection.com,internal_links,Internal Links,Warning,⚠️ 10 link(s) have no anchor text,,,Technical SEO,Month 1,1.0,Open
SEO-016,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Warning,⚠️ Content is difficult to read (Flesch: 38.9) — may reduce engagement,,,Content / SEO,Month 1,1.0,Open
SEO-017,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Warning,⚠️ 22.7% complex words (3+ syllables) — consider simplifying,,,Content / SEO,Month 1,1.0,Open
SEO-018,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Warning,⚠️ Average paragraph length (15.0 sentences) — aim for 2-4,,,Content / SEO,Month 1,1.0,Open
